Q	COD	NH
1856.67	9.97	0.08
1803.33	9.98	0.08
1750	10	0.08
1725	9.98	0.08
1700	9.95	0.08
1675	9.93	0.08
1650	9.91	0.08
1625	9.89	0.08
1600	9.86	0.08
1575	9.84	0.08
1550	9.82	0.08
1525	9.8	0.08
1500	9.77	0.08
1475	9.75	0.07
1450	9.73	0.07
1425	9.71	0.07
1400	9.68	0.07
1375	9.66	0.07
1350	9.64	0.07
1325	9.62	0.07
1300	9.59	0.07
1275	9.57	0.07
1250	9.55	0.07
1225	9.52	0.07
1200	9.5	0.07
1175	9.48	0.07
1150	9.46	0.07
1149.58	9.43	0.07
1149.17	9.41	0.07
1148.75	9.39	0.07
1148.33	9.37	0.07
1147.92	9.34	0.07
1147.5	9.32	0.07
1147.08	9.3	0.07
1146.67	9.28	0.07
1146.25	9.25	0.07
1145.83	9.23	0.07
1145.42	9.21	0.07
1145	9.19	0.07
1144.58	9.16	0.07
1144.17	9.14	0.07
1143.75	9.12	0.07
1143.33	9.1	0.07
1142.92	9.07	0.07
1142.5	9.05	0.07
1142.08	9.03	0.07
1141.67	9	0.07
1141.25	8.98	0.07
1140.83	8.96	0.07
1140.42	8.94	0.07
1140	8.91	0.07
1161.67	8.89	0.07
1183.33	8.87	0.07
1205	8.85	0.07
1226.67	8.82	0.07
1248.33	8.8	0.07
1270	8.78	0.07
1291.67	8.76	0.07
1313.33	8.73	0.07
1335	8.71	0.07
1356.67	8.69	0.07
1378.33	8.67	0.07
1400	8.64	0.07
1421.67	8.62	0.07
1443.33	8.6	0.07
1465	8.57	0.07
1486.67	8.55	0.07
1508.33	8.53	0.07
1530	8.51	0.08
1551.67	8.48	0.08
1573.33	8.46	0.08
1595	8.44	0.08
1616.67	8.42	0.08
1638.33	8.39	0.08
1660	8.37	0.08
1705	8.35	0.08
1750	8.33	0.08
1795	8.3	0.08
1840	8.28	0.08
1885	8.26	0.08
1930	8.24	0.08
1975	8.21	0.08
2020	8.19	0.08
2065	8.17	0.08
2110	8.15	0.08
2155	8.12	0.08
2200	8.1	0.08
2245	8.08	0.08
2290	8.05	0.08
2335	8.03	0.08
2380	8.01	0.08
2425	7.99	0.08
2470	7.96	0.08
2515	7.94	0.08
2560	7.92	0.08
2605	7.9	0.08
2650	7.87	0.08
2695	7.85	0.08
2740	7.83	0.08
2801.25	7.81	0.08
2862.5	7.78	0.08
2923.75	7.76	0.08
2985	7.74	0.08
3046.25	7.72	0.08
3107.5	7.69	0.08
3168.75	7.67	0.08
3230	7.65	0.08
3291.25	7.62	0.08
3352.5	7.6	0.08
3413.75	7.58	0.08
3475	7.56	0.08
3536.25	7.53	0.08
3597.5	7.51	0.08
3658.75	7.49	0.08
3720	7.47	0.08
3781.25	7.44	0.08
3842.5	7.42	0.08
3903.75	7.4	0.08
3965	7.38	0.08
4026.25	7.35	0.08
4087.5	7.33	0.08
4148.75	7.31	0.08
4210	7.29	0.08
4111.67	7.26	0.08
4013.33	7.24	0.08
3915	7.22	0.08
3816.67	7.2	0.08
3718.33	7.17	0.08
3620	7.15	0.08
3521.67	7.13	0.08
3423.33	7.1	0.08
3325	7.08	0.08
3226.67	7.06	0.08
3128.33	7.04	0.08
3030	7.01	0.08
2931.67	6.99	0.08
2833.33	6.97	0.08
2735	6.95	0.08
2636.67	6.92	0.08
2538.33	6.9	0.08
2440	6.88	0.08
2341.67	6.86	0.08
2243.33	6.83	0.08
2145	6.81	0.08
2046.67	6.79	0.08
1948.33	6.77	0.08
1850	6.74	0.08
1825.83	6.72	0.08
1801.67	6.7	0.08
1777.5	6.68	0.08
1753.33	6.65	0.08
1729.17	6.63	0.08
1705	6.61	0.09
1680.83	6.58	0.09
1656.67	6.56	0.09
1632.5	6.54	0.09
1608.33	6.52	0.09
1584.17	6.49	0.09
1560	6.47	0.09
1535.83	6.45	0.09
1511.67	6.43	0.09
1487.5	6.4	0.09
1463.33	6.38	0.09
1439.17	6.36	0.09
1415	6.34	0.09
1390.83	6.31	0.09
1366.67	6.29	0.09
1342.5	6.27	0.09
1318.33	6.25	0.09
1294.17	6.22	0.09
1270	6.2	0.09
1303.75	6.21	0.09
1337.5	6.23	0.09
1371.25	6.24	0.09
1405	6.25	0.09
1438.75	6.27	0.09
1472.5	6.28	0.09
1506.25	6.29	0.09
1540	6.3	0.09
1573.75	6.32	0.09
1607.5	6.33	0.09
1641.25	6.34	0.09
1675	6.36	0.09
1708.75	6.37	0.09
1742.5	6.38	0.09
1776.25	6.4	0.09
1810	6.41	0.09
1843.75	6.42	0.09
1877.5	6.44	0.09
1911.25	6.45	0.09
1945	6.46	0.09
1978.75	6.47	0.09
2012.5	6.49	0.09
2046.25	6.5	0.09
2080	6.51	0.09
2078.33	6.53	0.09
2076.67	6.54	0.09
2075	6.55	0.09
2073.33	6.57	0.09
2071.67	6.58	0.09
2070	6.59	0.09
2068.33	6.61	0.09
2066.67	6.62	0.09
2065	6.63	0.09
2063.33	6.65	0.09
2061.67	6.66	0.09
2060	6.67	0.09
2058.33	6.68	0.09
2056.67	6.7	0.09
2055	6.71	0.09
2053.33	6.72	0.09
2051.67	6.74	0.09
2050	6.75	0.09
2048.33	6.76	0.09
2046.67	6.78	0.09
2045	6.79	0.09
2043.33	6.8	0.1
2041.67	6.82	0.1
