Q	COD	NH
622.17	1.64	0.08
619.33	1.64	0.08
616.5	1.64	0.08
613.67	1.64	0.08
610.83	1.64	0.08
608	1.65	0.08
605.17	1.65	0.08
602.33	1.65	0.08
599.5	1.65	0.08
596.67	1.65	0.08
593.83	1.66	0.08
591	1.66	0.08
591.54	1.66	0.08
592.08	1.66	0.08
592.62	1.66	0.08
593.17	1.66	0.08
593.71	1.67	0.08
594.25	1.67	0.08
594.79	1.67	0.08
595.33	1.67	0.08
595.88	1.67	0.08
596.42	1.68	0.08
596.96	1.68	0.08
597.5	1.68	0.08
598.04	1.68	0.08
598.58	1.68	0.08
599.12	1.68	0.08
599.67	1.69	0.08
600.21	1.69	0.08
600.75	1.69	0.08
601.29	1.69	0.08
601.83	1.69	0.08
602.38	1.69	0.08
602.92	1.7	0.08
603.46	1.7	0.08
604	1.7	0.08
616.88	1.7	0.08
629.75	1.7	0.08
642.62	1.7	0.08
655.5	1.7	0.08
668.38	1.69	0.08
681.25	1.69	0.08
694.12	1.69	0.08
707	1.69	0.08
719.88	1.69	0.08
732.75	1.69	0.08
745.62	1.69	0.08
758.5	1.69	0.08
771.38	1.68	0.08
784.25	1.68	0.09
797.12	1.68	0.09
810	1.68	0.09
822.88	1.68	0.09
835.75	1.68	0.09
848.62	1.68	0.09
861.5	1.68	0.09
874.38	1.68	0.09
887.25	1.67	0.09
900.12	1.67	0.09
913	1.67	0.09
909.5	1.67	0.09
906	1.67	0.09
902.5	1.67	0.09
899	1.67	0.09
895.5	1.67	0.09
892	1.66	0.09
888.5	1.66	0.09
885	1.66	0.09
881.5	1.66	0.09
878	1.66	0.09
874.5	1.66	0.09
871	1.66	0.09
867.5	1.66	0.09
864	1.65	0.09
860.5	1.65	0.09
857	1.65	0.09
853.5	1.65	0.09
850	1.65	0.09
846.5	1.65	0.1
843	1.65	0.1
839.5	1.65	0.1
836	1.65	0.1
832.5	1.64	0.1
1360	1.39	0.07
1347.5	1.39	0.07
1335	1.39	0.07
1322.5	1.39	0.07
1310	1.39	0.07
1297.5	1.39	0.07
1285	1.39	0.07
1272.5	1.39	0.07
1260	1.39	0.07
1247.5	1.39	0.07
1235	1.39	0.06
1222.5	1.39	0.06
1210	1.39	0.06
1197.5	1.39	0.06
1185	1.39	0.06
1172.5	1.39	0.06
1160	1.4	0.06
1147.5	1.4	0.06
1135	1.4	0.06
1122.5	1.4	0.06
1110	1.4	0.06
1097.5	1.4	0.06
1085	1.4	0.06
1072.5	1.4	0.06
1060	1.4	0.06
1067.08	1.4	0.06
1074.17	1.4	0.06
1081.25	1.41	0.06
1088.33	1.41	0.06
1095.42	1.41	0.06
1102.5	1.41	0.06
1109.58	1.41	0.06
1116.67	1.41	0.06
1123.75	1.42	0.06
1130.83	1.42	0.06
1137.92	1.42	0.06
1145	1.42	0.06
1152.08	1.42	0.06
1159.17	1.42	0.06
1166.25	1.43	0.06
1173.33	1.43	0.06
1180.42	1.43	0.06
1187.5	1.43	0.06
1194.58	1.43	0.06
1201.67	1.44	0.06
1208.75	1.44	0.06
1215.83	1.44	0.06
1222.92	1.44	0.06
1230	1.44	0.06
1235	1.44	0.06
1240	1.45	0.06
1245	1.45	0.06
1250	1.45	0.06
1255	1.45	0.06
1260	1.45	0.06
1265	1.46	0.06
1270	1.46	0.06
1275	1.46	0.06
1280	1.46	0.06
1285	1.46	0.06
1290	1.46	0.06
1295	1.47	0.06
1300	1.47	0.06
1305	1.47	0.06
1310	1.47	0.06
1315	1.47	0.06
1320	1.48	0.06
1325	1.48	0.07
1330	1.48	0.07
1335	1.48	0.07
1340	1.48	0.07
1345	1.48	0.07
1350	1.49	0.07
1334.62	1.49	0.07
1319.25	1.49	0.07
1303.88	1.49	0.07
1288.5	1.49	0.07
1273.12	1.49	0.07
1257.75	1.5	0.07
1242.38	1.5	0.07
1227	1.5	0.07
1211.62	1.5	0.07
1196.25	1.5	0.07
1180.88	1.51	0.07
1165.5	1.51	0.07
1150.12	1.51	0.07
1134.75	1.51	0.07
1119.38	1.51	0.07
1104	1.51	0.07
1088.62	1.52	0.07
1073.25	1.52	0.07
1057.88	1.52	0.07
1042.5	1.52	0.07
1027.12	1.52	0.07
1011.75	1.52	0.07
996.38	1.53	0.07
981	1.53	0.07
987.21	1.53	0.07
993.42	1.53	0.07
999.62	1.53	0.07
1005.83	1.54	0.07
1012.04	1.54	0.07
1018.25	1.54	0.07
1024.46	1.54	0.07
1030.67	1.54	0.07
1036.88	1.54	0.07
1043.08	1.55	0.07
1049.29	1.55	0.07
1055.5	1.55	0.07
1061.71	1.55	0.07
1067.92	1.55	0.07
1074.12	1.56	0.07
1080.33	1.56	0.07
1086.54	1.56	0.07
1092.75	1.56	0.07
1098.96	1.56	0.07
1105.17	1.56	0.07
1111.38	1.57	0.07
1117.58	1.57	0.07
1123.79	1.57	0.07
1130	1.57	0.07
1110.38	1.57	0.07
1090.75	1.58	0.07
1071.12	1.58	0.07
1051.5	1.58	0.07
1031.88	1.58	0.07
1012.25	1.58	0.07
992.62	1.58	0.07
973	1.59	0.07
953.38	1.59	0.07
933.75	1.59	0.07
914.12	1.59	0.07
894.5	1.59	0.07
874.88	1.59	0.07
855.25	1.6	0.07
835.62	1.6	0.07
816	1.6	0.07
796.38	1.6	0.07
776.75	1.6	0.07
757.12	1.61	0.07
737.5	1.61	0.07
717.88	1.61	0.07
698.25	1.61	0.07
678.62	1.61	0.07
659	1.61	0.07
656.17	1.62	0.07
653.33	1.62	0.07
650.5	1.62	0.07
647.67	1.62	0.07
644.83	1.62	0.07
642	1.62	0.07
639.17	1.63	0.08
636.33	1.63	0.08
633.5	1.63	0.08
630.67	1.63	0.08
627.83	1.63	0.08
625	1.64	0.08
622.17	1.64	0.08
619.33	1.64	0.08
616.5	1.64	0.08
613.67	1.64	0.08
610.83	1.64	0.08
608	1.65	0.08
605.17	1.65	0.08
602.33	1.65	0.08
599.5	1.65	0.08
596.67	1.65	0.08
593.83	1.66	0.08
591	1.66	0.08
591.54	1.66	0.08
592.08	1.66	0.08
592.62	1.66	0.08
593.17	1.66	0.08
593.71	1.67	0.08
594.25	1.67	0.08
594.79	1.67	0.08
595.33	1.67	0.08
595.88	1.67	0.08
596.42	1.68	0.08
596.96	1.68	0.08
597.5	1.68	0.08
598.04	1.68	0.08
598.58	1.68	0.08
599.12	1.68	0.08
599.67	1.69	0.08
600.21	1.69	0.08
600.75	1.69	0.08
601.29	1.69	0.08
601.83	1.69	0.08
602.38	1.69	0.08
602.92	1.7	0.08
603.46	1.7	0.08
604	1.7	0.08
616.88	1.7	0.08
629.75	1.7	0.08
642.62	1.7	0.08
655.5	1.7	0.08
668.38	1.69	0.08
681.25	1.69	0.08
694.12	1.69	0.08
707	1.69	0.08
719.88	1.69	0.08
732.75	1.69	0.08
745.62	1.69	0.08
758.5	1.69	0.08
771.38	1.68	0.08
784.25	1.68	0.09
797.12	1.68	0.09
810	1.68	0.09
822.88	1.68	0.09
835.75	1.68	0.09
848.62	1.68	0.09
861.5	1.68	0.09
874.38	1.68	0.09
887.25	1.67	0.09
900.12	1.67	0.09
913	1.67	0.09
909.5	1.67	0.09
906	1.67	0.09
902.5	1.67	0.09
899	1.67	0.09
895.5	1.67	0.09
892	1.66	0.09
888.5	1.66	0.09
885	1.66	0.09
881.5	1.66	0.09
878	1.66	0.09
874.5	1.66	0.09
871	1.66	0.09
867.5	1.66	0.09
864	1.65	0.09
860.5	1.65	0.09
857	1.65	0.09
853.5	1.65	0.09
850	1.65	0.09
846.5	1.65	0.1
843	1.65	0.1
839.5	1.65	0.1
836	1.65	0.1
832.5	1.64	0.1
