Q	COD	NH
18662.5	1.58	0.07
18916.67	1.58	0.07
19170.83	1.58	0.07
19425	1.58	0.07
19679.17	1.58	0.07
19933.33	1.59	0.07
20187.5	1.59	0.07
20441.67	1.59	0.07
20695.83	1.59	0.07
20950	1.59	0.07
21204.17	1.59	0.07
21458.33	1.6	0.07
21712.5	1.6	0.07
21966.67	1.6	0.07
22220.83	1.6	0.07
22475	1.6	0.07
22729.17	1.61	0.07
22983.33	1.61	0.07
23237.5	1.61	0.07
23491.67	1.61	0.07
23745.83	1.61	0.07
24000	1.61	0.07
23966.67	1.62	0.07
23933.33	1.62	0.07
23900	1.62	0.07
23866.67	1.62	0.07
23833.33	1.62	0.07
23800	1.62	0.07
23766.67	1.63	0.08
23733.33	1.63	0.08
23700	1.63	0.08
23666.67	1.63	0.08
23633.33	1.63	0.08
23600	1.64	0.08
23566.67	1.64	0.08
23533.33	1.64	0.08
23500	1.64	0.08
23466.67	1.64	0.08
23433.33	1.64	0.08
23400	1.65	0.08
23366.67	1.65	0.08
23333.33	1.65	0.08
23300	1.65	0.08
23266.67	1.65	0.08
23233.33	1.66	0.08
23200	1.66	0.08
22995.83	1.66	0.08
22791.67	1.66	0.08
22587.5	1.66	0.08
22383.33	1.66	0.08
22179.17	1.67	0.08
21975	1.67	0.08
21770.83	1.67	0.08
21566.67	1.67	0.08
21362.5	1.67	0.08
21158.33	1.68	0.08
20954.17	1.68	0.08
20750	1.68	0.08
20545.83	1.68	0.08
20341.67	1.68	0.08
20137.5	1.68	0.08
19933.33	1.69	0.08
19729.17	1.69	0.08
19525	1.69	0.08
19320.83	1.69	0.08
19116.67	1.69	0.08
18912.5	1.69	0.08
18708.33	1.7	0.08
18504.17	1.7	0.08
18300	1.7	0.08
18229.17	1.7	0.08
18158.33	1.7	0.08
18087.5	1.7	0.08
18016.67	1.7	0.08
17945.83	1.69	0.08
17875	1.69	0.08
17804.17	1.69	0.08
17733.33	1.69	0.08
17662.5	1.69	0.08
17591.67	1.69	0.08
17520.83	1.69	0.08
17450	1.69	0.08
17379.17	1.68	0.08
17308.33	1.68	0.09
17237.5	1.68	0.09
17166.67	1.68	0.09
17095.83	1.68	0.09
17025	1.68	0.09
16954.17	1.68	0.09
16883.33	1.68	0.09
16812.5	1.68	0.09
16741.67	1.67	0.09
16670.83	1.67	0.09
16600	1.67	0.09
16766.67	1.67	0.09
16933.33	1.67	0.09
17100	1.67	0.09
17266.67	1.67	0.09
17433.33	1.67	0.09
17600	1.66	0.09
17766.67	1.66	0.09
17933.33	1.66	0.09
18100	1.66	0.09
18266.67	1.66	0.09
18433.33	1.66	0.09
18600	1.66	0.09
18766.67	1.66	0.09
18933.33	1.65	0.09
19100	1.65	0.09
19266.67	1.65	0.09
19433.33	1.65	0.09
19600	1.65	0.09
19766.67	1.65	0.1
19933.33	1.65	0.1
20100	1.65	0.1
20266.67	1.65	0.1
20433.33	1.64	0.1
9200	1.39	0.07
9162.5	1.39	0.07
9125	1.39	0.07
9087.5	1.39	0.07
9050	1.39	0.07
9012.5	1.39	0.07
8975	1.39	0.07
8937.5	1.39	0.07
8900	1.39	0.07
8862.5	1.39	0.07
8825	1.39	0.06
8787.5	1.39	0.06
8750	1.39	0.06
8712.5	1.39	0.06
8675	1.39	0.06
8637.5	1.39	0.06
8600	1.4	0.06
8562.5	1.4	0.06
8525	1.4	0.06
8487.5	1.4	0.06
8450	1.4	0.06
8412.5	1.4	0.06
8375	1.4	0.06
8337.5	1.4	0.06
8300	1.4	0.06
8190.83	1.4	0.06
8081.67	1.4	0.06
7972.5	1.41	0.06
7863.33	1.41	0.06
7754.17	1.41	0.06
7645	1.41	0.06
7535.83	1.41	0.06
7426.67	1.41	0.06
7317.5	1.42	0.06
7208.33	1.42	0.06
7099.17	1.42	0.06
6990	1.42	0.06
6880.83	1.42	0.06
6771.67	1.42	0.06
6662.5	1.43	0.06
6553.33	1.43	0.06
6444.17	1.43	0.06
6335	1.43	0.06
6225.83	1.43	0.06
6116.67	1.44	0.06
6007.5	1.44	0.06
5898.33	1.44	0.06
5789.17	1.44	0.06
5680	1.44	0.06
5655.42	1.44	0.06
5630.83	1.45	0.06
5606.25	1.45	0.06
5581.67	1.45	0.06
5557.08	1.45	0.06
5532.5	1.45	0.06
5507.92	1.46	0.06
5483.33	1.46	0.06
5458.75	1.46	0.06
5434.17	1.46	0.06
5409.58	1.46	0.06
5385	1.46	0.06
5360.42	1.47	0.06
5335.83	1.47	0.06
5311.25	1.47	0.06
5286.67	1.47	0.06
5262.08	1.47	0.06
5237.5	1.48	0.06
5212.92	1.48	0.07
5188.33	1.48	0.07
5163.75	1.48	0.07
5139.17	1.48	0.07
5114.58	1.48	0.07
5090	1.49	0.07
5243.33	1.49	0.07
5396.67	1.49	0.07
5550	1.49	0.07
5703.33	1.49	0.07
5856.67	1.49	0.07
6010	1.5	0.07
6163.33	1.5	0.07
6316.67	1.5	0.07
6470	1.5	0.07
6623.33	1.5	0.07
6776.67	1.51	0.07
6930	1.51	0.07
7083.33	1.51	0.07
7236.67	1.51	0.07
7390	1.51	0.07
7543.33	1.51	0.07
7696.67	1.52	0.07
7850	1.52	0.07
8003.33	1.52	0.07
8156.67	1.52	0.07
8310	1.52	0.07
8463.33	1.52	0.07
8616.67	1.53	0.07
8770	1.53	0.07
9150.42	1.53	0.07
9530.83	1.53	0.07
9911.25	1.53	0.07
10291.67	1.54	0.07
10672.08	1.54	0.07
11052.5	1.54	0.07
11432.92	1.54	0.07
11813.33	1.54	0.07
12193.75	1.54	0.07
12574.17	1.55	0.07
12954.58	1.55	0.07
13335	1.55	0.07
13715.42	1.55	0.07
14095.83	1.55	0.07
14476.25	1.56	0.07
14856.67	1.56	0.07
15237.08	1.56	0.07
15617.5	1.56	0.07
15997.92	1.56	0.07
16378.33	1.56	0.07
16758.75	1.57	0.07
17139.17	1.57	0.07
17519.58	1.57	0.07
17900	1.57	0.07
18154.17	1.57	0.07
18408.33	1.58	0.07
18662.5	1.58	0.07
18916.67	1.58	0.07
19170.83	1.58	0.07
19425	1.58	0.07
19679.17	1.58	0.07
19933.33	1.59	0.07
20187.5	1.59	0.07
20441.67	1.59	0.07
20695.83	1.59	0.07
20950	1.59	0.07
21204.17	1.59	0.07
21458.33	1.6	0.07
21712.5	1.6	0.07
21966.67	1.6	0.07
22220.83	1.6	0.07
22475	1.6	0.07
22729.17	1.61	0.07
22983.33	1.61	0.07
23237.5	1.61	0.07
23491.67	1.61	0.07
23745.83	1.61	0.07
24000	1.61	0.07
23966.67	1.62	0.07
23933.33	1.62	0.07
23900	1.62	0.07
23866.67	1.62	0.07
23833.33	1.62	0.07
23800	1.62	0.07
23766.67	1.63	0.08
23733.33	1.63	0.08
23700	1.63	0.08
23666.67	1.63	0.08
23633.33	1.63	0.08
23600	1.64	0.08
23566.67	1.64	0.08
23533.33	1.64	0.08
23500	1.64	0.08
23466.67	1.64	0.08
23433.33	1.64	0.08
23400	1.65	0.08
23366.67	1.65	0.08
23333.33	1.65	0.08
23300	1.65	0.08
23266.67	1.65	0.08
23233.33	1.66	0.08
23200	1.66	0.08
22995.83	1.66	0.08
22791.67	1.66	0.08
22587.5	1.66	0.08
22383.33	1.66	0.08
22179.17	1.67	0.08
21975	1.67	0.08
21770.83	1.67	0.08
21566.67	1.67	0.08
21362.5	1.67	0.08
21158.33	1.68	0.08
20954.17	1.68	0.08
20750	1.68	0.08
20545.83	1.68	0.08
20341.67	1.68	0.08
20137.5	1.68	0.08
19933.33	1.69	0.08
19729.17	1.69	0.08
19525	1.69	0.08
19320.83	1.69	0.08
19116.67	1.69	0.08
18912.5	1.69	0.08
18708.33	1.7	0.08
18504.17	1.7	0.08
18300	1.7	0.08
18229.17	1.7	0.08
18158.33	1.7	0.08
18087.5	1.7	0.08
18016.67	1.7	0.08
17945.83	1.69	0.08
17875	1.69	0.08
17804.17	1.69	0.08
17733.33	1.69	0.08
17662.5	1.69	0.08
17591.67	1.69	0.08
17520.83	1.69	0.08
17450	1.69	0.08
17379.17	1.68	0.08
17308.33	1.68	0.09
17237.5	1.68	0.09
17166.67	1.68	0.09
17095.83	1.68	0.09
17025	1.68	0.09
16954.17	1.68	0.09
16883.33	1.68	0.09
16812.5	1.68	0.09
16741.67	1.67	0.09
16670.83	1.67	0.09
16600	1.67	0.09
16766.67	1.67	0.09
16933.33	1.67	0.09
17100	1.67	0.09
17266.67	1.67	0.09
17433.33	1.67	0.09
17600	1.66	0.09
17766.67	1.66	0.09
17933.33	1.66	0.09
18100	1.66	0.09
18266.67	1.66	0.09
18433.33	1.66	0.09
18600	1.66	0.09
18766.67	1.66	0.09
18933.33	1.65	0.09
19100	1.65	0.09
19266.67	1.65	0.09
19433.33	1.65	0.09
19600	1.65	0.09
19766.67	1.65	0.1
19933.33	1.65	0.1
20100	1.65	0.1
20266.67	1.65	0.1
20433.33	1.64	0.1
