Q	COD	NH
26.54	6.72	0.09
26.32	6.74	0.09
26.1	6.75	0.09
25.88	6.76	0.09
25.66	6.78	0.09
25.44	6.79	0.09
25.23	6.8	0.1
25.01	6.82	0.1
26.48	9.63	0.09
26.47	9.64	0.09
26.47	9.66	0.09
26.47	9.68	0.09
26.46	9.69	0.09
26.46	9.71	0.09
26.46	9.72	0.09
26.45	9.74	0.08
26.45	9.75	0.08
26.45	9.77	0.08
26.44	9.78	0.08
26.44	9.8	0.08
26.44	9.81	0.08
26.44	9.83	0.08
26.43	9.85	0.08
26.43	9.86	0.08
26.43	9.88	0.08
26.42	9.89	0.08
26.42	9.91	0.08
26.42	9.92	0.08
26.41	9.94	0.08
26.41	9.95	0.08
26.41	9.97	0.08
26.4	9.98	0.08
26.4	10	0.08
26.11	9.98	0.08
25.83	9.95	0.08
25.54	9.93	0.08
25.25	9.91	0.08
24.96	9.89	0.08
24.68	9.86	0.08
24.39	9.84	0.08
24.1	9.82	0.08
23.81	9.8	0.08
23.53	9.77	0.08
23.24	9.75	0.07
22.95	9.73	0.07
22.66	9.71	0.07
22.38	9.68	0.07
22.09	9.66	0.07
21.8	9.64	0.07
21.52	9.62	0.07
21.23	9.59	0.07
20.94	9.57	0.07
20.65	9.55	0.07
20.37	9.52	0.07
20.08	9.5	0.07
19.79	9.48	0.07
19.5	9.46	0.07
19.89	9.43	0.07
20.28	9.41	0.07
20.67	9.39	0.07
21.06	9.37	0.07
21.45	9.34	0.07
21.84	9.32	0.07
22.23	9.3	0.07
22.62	9.28	0.07
23.01	9.25	0.07
23.4	9.23	0.07
23.79	9.21	0.07
24.18	9.19	0.07
24.57	9.16	0.07
24.96	9.14	0.07
25.35	9.12	0.07
25.74	9.1	0.07
26.13	9.07	0.07
26.52	9.05	0.07
26.91	9.03	0.07
27.3	9	0.07
27.69	8.98	0.07
28.08	8.96	0.07
28.47	8.94	0.07
28.86	8.91	0.07
28.62	8.89	0.07
28.39	8.87	0.07
28.15	8.85	0.07
27.91	8.82	0.07
27.68	8.8	0.07
27.44	8.78	0.07
27.2	8.76	0.07
26.97	8.73	0.07
26.73	8.71	0.07
26.49	8.69	0.07
26.26	8.67	0.07
26.02	8.64	0.07
25.78	8.62	0.07
25.55	8.6	0.07
25.31	8.57	0.07
25.07	8.55	0.07
24.84	8.53	0.07
24.6	8.51	0.08
24.36	8.48	0.08
24.13	8.46	0.08
23.89	8.44	0.08
23.66	8.42	0.08
23.42	8.39	0.08
23.18	8.37	0.08
23.05	8.35	0.08
22.92	8.33	0.08
22.79	8.3	0.08
22.66	8.28	0.08
22.53	8.26	0.08
22.39	8.24	0.08
22.26	8.21	0.08
22.13	8.19	0.08
22	8.17	0.08
21.87	8.15	0.08
21.74	8.12	0.08
21.61	8.1	0.08
21.47	8.08	0.08
21.34	8.05	0.08
21.21	8.03	0.08
21.08	8.01	0.08
20.95	7.99	0.08
20.82	7.96	0.08
20.69	7.94	0.08
20.56	7.92	0.08
20.42	7.9	0.08
20.29	7.87	0.08
20.16	7.85	0.08
20.03	7.83	0.08
20.71	7.81	0.08
21.4	7.78	0.08
22.08	7.76	0.08
22.76	7.74	0.08
23.44	7.72	0.08
24.12	7.69	0.08
24.81	7.67	0.08
25.49	7.65	0.08
26.17	7.62	0.08
26.85	7.6	0.08
27.54	7.58	0.08
28.22	7.56	0.08
28.9	7.53	0.08
29.58	7.51	0.08
30.27	7.49	0.08
30.95	7.47	0.08
31.63	7.44	0.08
32.31	7.42	0.08
33	7.4	0.08
33.68	7.38	0.08
34.36	7.35	0.08
35.04	7.33	0.08
35.73	7.31	0.08
36.41	7.29	0.08
37.02	7.26	0.08
37.63	7.24	0.08
38.25	7.22	0.08
38.86	7.2	0.08
39.47	7.17	0.08
40.09	7.15	0.08
40.7	7.13	0.08
41.31	7.1	0.08
41.92	7.08	0.08
42.54	7.06	0.08
43.15	7.04	0.08
43.76	7.01	0.08
44.38	6.99	0.08
44.99	6.97	0.08
45.6	6.95	0.08
46.21	6.92	0.08
46.83	6.9	0.08
47.44	6.88	0.08
48.05	6.86	0.08
48.67	6.83	0.08
49.28	6.81	0.08
49.89	6.79	0.08
50.5	6.77	0.08
51.12	6.74	0.08
51.02	6.72	0.08
50.93	6.7	0.08
50.84	6.68	0.08
50.74	6.65	0.08
50.65	6.63	0.08
50.56	6.61	0.09
50.46	6.58	0.09
50.37	6.56	0.09
50.28	6.54	0.09
50.18	6.52	0.09
50.09	6.49	0.09
50	6.47	0.09
49.9	6.45	0.09
49.81	6.43	0.09
49.72	6.4	0.09
49.62	6.38	0.09
49.53	6.36	0.09
49.43	6.34	0.09
49.34	6.31	0.09
49.25	6.29	0.09
49.15	6.27	0.09
49.06	6.25	0.09
48.97	6.22	0.09
48.87	6.2	0.09
48.09	6.21	0.09
47.31	6.23	0.09
46.52	6.24	0.09
45.74	6.25	0.09
44.95	6.27	0.09
44.17	6.28	0.09
43.38	6.29	0.09
42.6	6.3	0.09
41.82	6.32	0.09
41.03	6.33	0.09
40.25	6.34	0.09
39.46	6.36	0.09
38.68	6.37	0.09
37.89	6.38	0.09
37.11	6.4	0.09
36.33	6.41	0.09
35.54	6.42	0.09
34.76	6.44	0.09
33.97	6.45	0.09
33.19	6.46	0.09
32.4	6.47	0.09
31.62	6.49	0.09
30.84	6.5	0.09
30.05	6.51	0.09
29.83	6.53	0.09
29.61	6.54	0.09
29.39	6.55	0.09
29.17	6.57	0.09
28.95	6.58	0.09
28.74	6.59	0.09
28.52	6.61	0.09
28.3	6.62	0.09
28.08	6.63	0.09
27.86	6.65	0.09
27.64	6.66	0.09
27.42	6.67	0.09
27.2	6.68	0.09
26.98	6.7	0.09
26.76	6.71	0.09
26.54	6.72	0.09
26.32	6.74	0.09
26.1	6.75	0.09
25.88	6.76	0.09
25.66	6.78	0.09
25.44	6.79	0.09
25.23	6.8	0.1
25.01	6.82	0.1
